id,fish_name,betta_tail_type,number_of_colours,fish_length,origin,scale_cleanliness,fin_condition,competition_status
1,Cletus,Halfmoon,3,5.62,Thailand,71.05,Good,Win
2,Ofelia,Spade,2,6.22,India,15.65,Untidy,Lose
3,Goddard,Spade,5,5.38,Thailand,51.19,Good,Win
4,Walden,Halfmoon,3,6.92,Indonesia,36.24,Excellent,Lose
5,Halie,Plakat,4,6.49,India,2.53,Good,Lose
6,Maryanne,Rose,1,4.62,India,55.1,Good,Win
7,Veronika,Plakat,5,4.69,Vietnam,84.63,Poor,Win
8,Eddy,Plakat,2,6.35,Indonesia,61.77,Poor,Win
9,Ophelia,Rose,2,4.15,India,24.65,Untidy,Lose
10,Valentia,Plakat,2,5.81,Thailand,58.58,Excellent,Win
11,Erasmus,Crown,2,5.33,Thailand,86.25,Excellent,Lose
12,Granthem,Plakat,1,6.06,Indonesia,14.4,Poor,Lose
13,Wandie,Crown,1,5.58,Vietnam,68.65,Good,Win
14,Petronella,Plakat,2,4.59,India,1.36,Untidy,Lose
15,Halie,Rose,2,6.3,India,12.21,Untidy,Lose
16,Gary,Spade,5,5.8,Vietnam,75.78,Excellent,Win
17,Rene,Crown,2,3.94,India,8.04,Untidy,Lose
18,Thomas,Spade,4,5.56,India,6.93,Poor,Lose
19,Sig,Crown,3,5.67,Vietnam,54.52,Excellent,Win
20,Burtie,Plakat,1,4.82,India,26.12,Untidy,Lose
21,Rhona,Crown,3,4.11,India,8.5,Untidy,Lose
22,Kiri,Crown,2,4.34,Indonesia,48.75,Poor,Lose
23,Janaya,Spade,2,3.9,Indonesia,59.14,Excellent,Win
24,Griffith,Rose,1,6.57,Vietnam,83.53,Good,Win
25,Tiphani,Crown,1,5.26,Vietnam,80.85,Excellent,Win
26,Danica,Spade,3,6.15,Thailand,72.42,Excellent,Win
27,Gwendolen,Plakat,5,5.37,Thailand,88.87,Excellent,Win
28,Henriette,Rose,4,5.25,Indonesia,36.76,Excellent,Lose
29,Phip,Plakat,2,6.84,Indonesia,6.97,Poor,Lose
30,Deane,Rose,1,5.84,Vietnam,86.45,Excellent,Win
31,Saw,Crown,3,5.33,Indonesia,74.92,Good,Win
32,Ludwig,Halfmoon,3,3.92,India,12.49,Untidy,Lose
33,Gaston,Halfmoon,5,5.79,Vietnam,67.57,Poor,Win
34,Alverta,Plakat,4,4.44,India,2.76,Untidy,Win
35,Rudiger,Spade,4,4.84,India,6.34,Untidy,Lose
36,Tobie,Halfmoon,1,4.01,Thailand,56.7,Good,Win
37,Sharleen,Crown,3,5.59,Thailand,78.27,Excellent,Win
38,Rasla,Halfmoon,1,4.69,Thailand,70.77,Excellent,Win
39,Bail,Crown,5,4.71,Thailand,71.32,Excellent,Win
40,Roselia,Plakat,4,6.85,Vietnam,17.95,Good,Lose
41,Brion,Crown,5,4.05,India,21.29,Untidy,Lose
42,Kliment,Halfmoon,5,6.43,Indonesia,81.44,Excellent,Win
43,Sloane,Halfmoon,5,6.36,Thailand,88.77,Good,Win
44,Saw,Rose,5,6.87,Thailand,67.86,Untidy,Win
45,Franky,Spade,1,7.06,Thailand,34.42,Excellent,Lose
46,Barth,Crown,4,4.94,Thailand,51.34,Good,Win
47,Ruben,Rose,5,6.76,India,11.26,Untidy,Lose
48,Gwenora,Crown,4,4.39,India,20.9,Good,Lose
49,Chrissy,Plakat,1,4.65,Vietnam,84.52,Good,Lose
50,Tobit,Spade,4,4.66,Indonesia,25.19,Poor,Lose
51,Bertrando,Spade,1,4.05,Thailand,56.41,Good,Win
52,Toni,Halfmoon,3,3.98,Thailand,41.88,Untidy,Win
53,Meghann,Plakat,4,6.83,Indonesia,0.54,Untidy,Lose
54,Cobb,Crown,4,4.02,Indonesia,39.6,Excellent,Win
55,Linc,Crown,1,7.04,Indonesia,48.39,Poor,Lose
56,Vere,Crown,5,6.59,Indonesia,21.95,Untidy,Lose
57,Shaughn,Halfmoon,2,6.52,Indonesia,43.19,Untidy,Lose
58,Solly,Spade,1,6.31,Vietnam,18.69,Untidy,Lose
59,Mallissa,Crown,5,6.65,Indonesia,25.81,Untidy,Lose
60,Briny,Plakat,4,6.77,Thailand,83.02,Good,Win
