id,store_name,average_response_time,successful_transactions,number_of_workday,cancelled_transactions,average_review_score
1,Crona Group,145 Minute(s),256506,6 Day(s),420,3.83
2,Okuneva LLC,292 Minute(s),154304,4 Day(s),1332,3.97
3,Wilkinson LLC,612 Minute(s),55495,5 Day(s),2558,3.39
4,"Schulist, Nienow and Wolf",234 Minute(s),158250,5 Day(s),1231,4.39
5,"Buckridge, Reinger and Reichert",535 Minute(s),193955,5 Day(s),1225,3.67
6,Schaden LLC,101 Minute(s),96622,5 Day(s),419,4.41
7,"Cummerata, Okuneva and Schowalter",207 Minute(s),76961,7 Day(s),634,3.97
8,"Runolfsdottir, Torp and Schuster",95 Minute(s),155012,6 Day(s),1400,3.21
9,Mante-Miller,1373 Minute(s),121509,4 Day(s),2074,3.99
10,"Koelpin, Larson and Stark",1170 Minute(s),128048,3 Day(s),2845,2.21
11,Kohler Inc,101 Minute(s),205635,5 Day(s),588,4.47
12,Renner and Sons,790 Minute(s),58034,5 Day(s),1530,3.87
13,Bashirian-Stanton,26 Minute(s),130605,5 Day(s),1358,4.03
14,Mante-Wisoky,386 Minute(s),208835,6 Day(s),1364,3.35
15,Sanford LLC,155 Minute(s),116472,6 Day(s),439,3.24
16,Spencer-Jerde,171 Minute(s),127790,7 Day(s),672,4.16
17,Spencer LLC,314 Minute(s),217848,7 Day(s),1392,3.64
18,Dietrich-Kautzer,806 Minute(s),107681,5 Day(s),2558,2.18
19,"Paucek, Brown and Braun",3 Minute(s),182904,6 Day(s),374,4.06
20,Collins-Beier,468 Minute(s),194109,4 Day(s),1023,3.75
21,"Parker, Lindgren and Crooks",685 Minute(s),67088,3 Day(s),2118,3.97
22,Luettgen and Sons,122 Minute(s),283339,5 Day(s),231,3.51
23,"Dare, Bradtke and McGlynn",346 Minute(s),204681,4 Day(s),1110,3.97
24,Schaefer Inc,940 Minute(s),83963,3 Day(s),2582,2.89
25,"Hessel, Ferry and Blanda",153 Minute(s),149840,6 Day(s),137,4.21
26,"Pagac, O'Kon and Huels",159 Minute(s),186161,4 Day(s),157,4.16
27,"Predovic, Ledner and Mayer",290 Minute(s),229241,4 Day(s),1040,3.73
28,Haag Inc,104 Minute(s),204127,6 Day(s),67,4.17
29,Kutch-Dach,1394 Minute(s),120840,4 Day(s),1500,3.86
30,"Jakubowski, Bartell and Runolfsdottir",101 Minute(s),110216,7 Day(s),702,3.89
31,Goodwin-Thiel,1189 Minute(s),112479,4 Day(s),2413,3.41
32,Pouros-Goyette,748 Minute(s),52129,5 Day(s),2152,3.6
33,Gibson-Powlowski,121 Minute(s),173251,4 Day(s),46,3.41
34,Keebler Inc,51 Minute(s),104277,7 Day(s),120,4.38
35,Parker-Halvorson,911 Minute(s),61009,2 Day(s),1734,3.11
36,Dare-Marks,802 Minute(s),65441,5 Day(s),2042,4.46
37,"Feil, Casper and Mayert",226 Minute(s),217864,5 Day(s),963,3.5
38,Gibson-Jaskolski,14 Minute(s),261594,6 Day(s),87,4.61
39,Moen LLC,1423 Minute(s),50760,4 Day(s),2095,3.51
40,McKenzie Inc,1 Minute(s),268290,6 Day(s),24,4.45
41,Reinger-Effertz,209 Minute(s),74289,5 Day(s),259,4.51
42,Kiehn and Sons,36 Minute(s),87530,5 Day(s),708,3.55
43,Klein-Murazik,64 Minute(s),187503,5 Day(s),415,3.42
44,"Cremin, Ortiz and Vandervort",287 Minute(s),214029,4 Day(s),1152,3.39
45,"Weimann, Willms and Hahn",370 Minute(s),228430,5 Day(s),1040,4.9
46,Stokes-Ziemann,430 Minute(s),218864,6 Day(s),1263,4.84
47,Kreiger-Romaguera,300 Minute(s),181376,5 Day(s),1233,3.65
48,Fahey LLC,557 Minute(s),152545,6 Day(s),1385,3.27
49,Crist Inc,180 Minute(s),279659,6 Day(s),592,4.38
50,Baumbach and Sons,206 Minute(s),170765,5 Day(s),1096,4.09
51,Reinger-Sanford,484 Minute(s),181979,6 Day(s),1241,4.7
52,Hettinger-Abbott,653 Minute(s),37966,2 Day(s),1836,3.67
53,Williamson-Batz,107 Minute(s),128193,4 Day(s),705,4.59
54,Morar-McLaughlin,511 Minute(s),161904,6 Day(s),1184,3.86
55,"Champlin, O'Conner and Schiller",147 Minute(s),203286,4 Day(s),497,4.73
56,"Kerluke, Bauch and Johns",1162 Minute(s),127491,5 Day(s),1956,4.34
57,Orn-Hartmann,1093 Minute(s),67781,5 Day(s),1674,3.58
58,Rodriguez-Hayes,678 Minute(s),67091,5 Day(s),2102,2.82
59,"Upton, Green and Becker",71 Minute(s),268572,6 Day(s),479,4.9
60,Ritchie Group,930 Minute(s),32364,5 Day(s),1850,2.82
61,Rolfson-Hessel,471 Minute(s),229290,5 Day(s),1099,3.43
62,McLaughlin-Luettgen,499 Minute(s),59235,5 Day(s),306,3.47
63,"Murphy, Auer and Kertzmann",824 Minute(s),40989,3 Day(s),2082,3.16
64,"Lehner, Hodkiewicz and Mann",27 Minute(s),120418,6 Day(s),256,4.52
65,Monahan Group,54 Minute(s),215441,7 Day(s),140,4.37
66,Harvey-Erdman,210 Minute(s),197856,7 Day(s),1279,4.4
