id,store_name,average_response_time,successful_transactions,number_of_workday,cancelled_transactions,average_review_score
1,Klocko Group,113 Minute(s),108400,7 Day(s),224,3.64
2,Terry-Stehr,321 Minute(s),156169,5 Day(s),914,4.66
3,"Heaney, Windler and Frami",260 Minute(s),218808,5 Day(s),1075,3.35
4,Runolfsson and Sons,40 Minute(s),248638,3 Day(s),456,2.76
5,"Hauck, Cartwright and Bergnaum",281 Minute(s),141648,4 Day(s),1316,3.22
6,Tremblay-Borer,1349 Minute(s),100544,4 Day(s),2502,2.52
7,Watsica Group,53 Minute(s),293591,5 Day(s),419,4.83
8,Sawayn Inc,289 Minute(s),181702,3 Day(s),1058,4.44
9,"O'Reilly, Berge and Zboncak",743 Minute(s),42583,5 Day(s),1532,3.26
10,Dare-Oberbrunner,73 Minute(s),226055,6 Day(s),320,4.2
11,Kutch LLC,25 Minute(s),287930,4 Day(s),451,2.58
12,"Bruen, Medhurst and Brakus",1399 Minute(s),69690,4 Day(s),1819,2.98
13,"Hermann, Corwin and Schuster",146 Minute(s),261583,4 Day(s),154,2.22
14,Mayer Inc,440 Minute(s),202629,4 Day(s),1492,3.69
15,"Muller, Bogan and Heller",839 Minute(s),77824,2 Day(s),2621,2.54
16,Lubowitz-Reichel,1438 Minute(s),92735,3 Day(s),1886,4.3
17,DuBuque and Sons,201 Minute(s),126889,5 Day(s),577,4.99
18,"Harber, Cole and Lockman",8 Minute(s),254141,7 Day(s),280,4.96
19,Kerluke-Hickle,159 Minute(s),224648,5 Day(s),178,4.3
20,Christiansen and Sons,91 Minute(s),220409,4 Day(s),143,2.78
21,Hegmann-Hane,1066 Minute(s),55305,6 Day(s),1615,3.42
22,Padberg-Bayer,356 Minute(s),159018,3 Day(s),1182,4.69
23,Crona Group,145 Minute(s),256506,6 Day(s),420,3.83
24,Spinka and Sons,149 Minute(s),103248,5 Day(s),130,4.7
25,Connelly Group,484 Minute(s),141464,4 Day(s),1272,4.43
26,"Murphy, Auer and Kertzmann",824 Minute(s),40989,3 Day(s),2082,3.16
27,Moore-Feil,243 Minute(s),171434,3 Day(s),1322,3.7
28,Metz LLC,72 Minute(s),243152,3 Day(s),587,3.02
29,"Hansen, Bruen and Hilpert",184 Minute(s),124182,6 Day(s),495,4.1
30,"Keeling, Volkman and Becker",467 Minute(s),240611,6 Day(s),781,4.18
31,Hyatt-Legros,739 Minute(s),94767,2 Day(s),2895,2.8
32,Cassin-Kilback,1256 Minute(s),98965,2 Day(s),2923,2.26
33,"Fritsch, Carter and Bauch",427 Minute(s),224898,4 Day(s),951,4.1
34,"Smitham, Flatley and Schumm",52 Minute(s),296534,3 Day(s),377,2.34
35,Hartmann-Bergstrom,1018 Minute(s),84253,4 Day(s),2911,2.15
36,Fay Group,209 Minute(s),151721,4 Day(s),1115,4.26
37,Kohler-Zieme,385 Minute(s),105141,5 Day(s),1260,4.13
38,Bosco-Predovic,1283 Minute(s),30092,4 Day(s),1620,3.14
39,Stark-Stracke,494 Minute(s),198950,5 Day(s),1306,3.28
40,Stehr-Hilll,181 Minute(s),116591,7 Day(s),747,3.56
41,Block Inc,860 Minute(s),62684,3 Day(s),1600,2.89
42,Kessler-Nikolaus,821 Minute(s),99754,4 Day(s),2333,3.11
43,"Haley, Wolf and Langworth",74 Minute(s),111298,5 Day(s),208,4.24
44,Boyle Group,1291 Minute(s),95423,2 Day(s),2465,3.44
45,O'Keefe-Bergnaum,812 Minute(s),56640,4 Day(s),1790,3.29
46,Bosco-Kautzer,1331 Minute(s),53110,4 Day(s),1578,3.04
47,Doyle-Lubowitz,118 Minute(s),147832,7 Day(s),770,3.47
48,"Sauer, Marvin and Stehr",1363 Minute(s),105223,5 Day(s),2972,3.22
49,Howell LLC,262 Minute(s),135515,5 Day(s),1152,3.3
50,Daugherty Inc,110 Minute(s),122967,6 Day(s),10,3.27
51,"Mitchell, Corwin and Powlowski",929 Minute(s),56895,5 Day(s),1781,3.73
52,Smith-Borer,367 Minute(s),216619,7 Day(s),554,4.07
53,Borer-Sawayn,1045 Minute(s),78578,3 Day(s),1662,3.15
54,"Balistreri, Jenkins and Zemlak",914 Minute(s),54910,5 Day(s),1613,3.58
55,Wunsch-Schumm,761 Minute(s),53207,4 Day(s),1679,2.95
56,Bauch-Hackett,17 Minute(s),275356,3 Day(s),2572,2.44
57,"Hahn, Little and Denesik",58 Minute(s),142700,6 Day(s),504,3.51
58,Ziemann Inc,177 Minute(s),121770,5 Day(s),432,4.56
59,Rowe Inc,976 Minute(s),119143,5 Day(s),2572,2.84
60,"Schinner, Walter and Block",64 Minute(s),283482,3 Day(s),2610,2.65
61,"Glover, Lebsack and Abernathy",139 Minute(s),229046,5 Day(s),39,4.12
62,"Lang, Rempel and Beahan",161 Minute(s),158842,6 Day(s),237,3.46
63,Harber Inc,406 Minute(s),157954,5 Day(s),1366,3.73
64,Pfannerstill LLC,1139 Minute(s),83364,4 Day(s),2790,2.37
65,"Bernier, Lubowitz and Nienow",642 Minute(s),30502,5 Day(s),1532,3.42
66,Rau Inc,61 Minute(s),110253,5 Day(s),336,4.11
67,"Bernhard, Boyle and Adams",228 Minute(s),160619,5 Day(s),1330,4.2
68,Emard and Sons,429 Minute(s),88368,5 Day(s),819,4.55
69,Ziemann and Sons,163 Minute(s),250989,6 Day(s),453,3.94
70,"Pfeffer, Bernhard and Hodkiewicz",66 Minute(s),145578,6 Day(s),290,4.84
71,"Bruen, Franecki and Rowe",49 Minute(s),199864,7 Day(s),400,4.64
72,Ernser Group,153 Minute(s),104412,4 Day(s),1107,4.39
73,Bogan-Walker,157 Minute(s),299082,5 Day(s),369,4.41
74,"Prosacco, Mosciski and Frami",173 Minute(s),153459,4 Day(s),326,3.39
75,Batz-Gutkowski,179 Minute(s),199661,5 Day(s),1366,4.47
76,"Hessel, Lemke and Dooley",776 Minute(s),117699,3 Day(s),2654,2.56
77,"Lindgren, Moen and Senger",167 Minute(s),274642,5 Day(s),90,4.96
78,Wolff and Sons,1149 Minute(s),119694,4 Day(s),1901,4.42
79,Witting-Gaylord,1390 Minute(s),56246,6 Day(s),2143,3.53
80,Weber Inc,132 Minute(s),239783,3 Day(s),486,3.05
81,Jerde-Schaefer,132 Minute(s),112999,5 Day(s),139,3.87
82,O'Keefe-VonRueden,47 Minute(s),67320,7 Day(s),535,4.21
83,Rau-Gottlieb,479 Minute(s),207684,5 Day(s),1230,3.61
84,Feest-Kilback,211 Minute(s),176959,5 Day(s),1225,4.51
85,Hyatt-Schoen,71 Minute(s),181831,6 Day(s),772,3.35
86,Reynolds LLC,105 Minute(s),267976,7 Day(s),589,3.53
87,"O'Connell, Kutch and Gerhold",479 Minute(s),172948,6 Day(s),1175,3.8
88,"Feeney, Effertz and Stamm",93 Minute(s),73515,6 Day(s),443,4.83
89,"Friesen, Kub and Hayes",408 Minute(s),193292,3 Day(s),1529,4.57
90,Herman and Sons,1081 Minute(s),105111,2 Day(s),2755,3.5
91,Quitzon Inc,531 Minute(s),40398,3 Day(s),2585,3.64
92,Tremblay-Hammes,239 Minute(s),150421,4 Day(s),1430,4.31
93,Rodriguez and Sons,311 Minute(s),218844,7 Day(s),1276,3.61
94,Kohler Inc,133 Minute(s),125631,7 Day(s),666,4.49
95,Klein-Halvorson,143 Minute(s),71420,5 Day(s),106,4.35
